rank,company,country,count,sector,value
202,Teva Pharmaceutical,Israel,40551,Pharmaceuticals & biotechnology,48971.5
203,LyondellBasell Industries,US,191643,Chemicals,48292.1
204,Continental,Germany,15035128,Automobiles & parts,48183
205,Mizuho Financial Group,Japan,#N/A,Banks,48028.6
206,Lukoil,Russia,72887,Oil & gas producers,47443.9
207,Thermo Fisher Scientific,US,#N/A,Health care equipment & services,47109.1
208,ITC,India,2323102,Tobacco,46988.6
209,Emerson Electric,US,37548,Electronic & electrical equipment,46959.4
210,Bank of Communications,China,#N/A,Banks,46744.8
211,Canadian National Railway,Canada,#N/A,Industrial transportation,46521.6
212,China Shenhua Energy,China,#N/A,Mining,46493.2
213,PNC Financial Services,US,#N/A,Banks,46463.6
214,Singapore Telecom,Singapore,3814,Mobile telecommunications,46276
215,Naspers,South Africa,19691,Media,45926.4
216,AMX,Mexico,404767,Mobile telecommunications,45783.3
217,Deutsche Bank,Germany,1043358,Banks,45764.3
218,Zurich Financial Services,Switzerland,#N/A,Nonlife insurance,45745.6
219,Oil & Natural Gas,India,#N/A,Oil & gas producers,45655
220,Henkel,Germany,539056,Household goods & home construction,45536.7
221,Deutsche Post,Germany,105922,Industrial transportation,45248.1
222,Vinci,France,5582326,Construction & materials,44865.7
223,Danone,France,193930,Food producers,44641.9
224,Iberdrola,Spain,262984,Electricity,44588.2
225,Capital One Financial,US,#N/A,Financial services,44193.9
226,Valeant Pharmaceuticals International,Canada,#N/A,Pharmaceuticals & biotechnology,44125.8
227,Ericsson,Sweden,5336916,Technology hardware & equipment,43763.5
228,Phillips 66,US,655085,Oil & gas producers,43708.3
229,Wesfarmers,Australia,17491,General retailers,43646.2
230,Anadarko Petroleum,US,49838,Oil & gas producers,43403.6
231,Bank of Montreal,Canada,#N/A,Banks,43202.4
232,TJX Cos,US,56622,General retailers,43134.2
233,Jardine Matheson,Hong Kong,4719,General industrials,42931.6
234,Denso,Japan,257390,Automobiles & parts,42475.8
235,Air Liquide,France,41959,Chemicals,42409.7
236,Fanuc,Japan,82306,Industrial engineering,42338.6
237,Canadian Natural Resources,Canada,#N/A,Oil & gas producers,41868.8
238,Walmex,Mexico,5041,General retailers,41799.1
239,Kimberly-Clark,US,#N/A,Personal goods,41749.9
240,Nextera Energy,US,3465,Electricity,41631.3
241,Woolworths,Australia,251056,Food & drug retailers,41538.2
242,Asml Holding,Netherlands,437,Technology hardware & equipment,41402
243,Canon,Japan,38230824,Technology hardware & equipment,41326.7
244,Dominion Resources,US,211408,Electricity,41288.1
245,China Merchants Bank,China,#N/A,Banks,40900.2
246,McKesson,US,458011,Food & drug retailers,40633.5
247,Nissan Motor,Japan,230959,Automobiles & parts,40385
248,Jardine Strategic,Hong Kong,693,General industrials,40174.3
249,Heineken,Netherlands,1923028,Beverages,40106.1
250,Bank of New York Mellon,US,#N/A,Financial services,40062.9
251,Tesco,UK,3014836,Food & drug retailers,39873.6
252,Baxter International,US,54314,Health care equipment & services,39802.1
253,Imperial Oil,Canada,41418,Oil & gas producers,39533.2
254,Credit Agricole,France,110386,Banks,39459.7
255,Munich Re,Germany,138786,Nonlife insurance,39340.7
256,Fedex,US,896476,Industrial transportation,39173.6
257,Orange,France,70036086,Fixed line telecommunications,39136.4
258,E On,Germany,43619,"Gas, water & multiutilities",39034.5
259,Liberty Global,US,41329,Media,39024.3
260,Prudential Financial,US,48630,Life insurance,39021.9
261,Southern,US,83959582,Electricity,39016.1
262,DirecTV,US,1795478,Media,38970.6
263,Imperial Tobacco,UK,25124,Tobacco,38824.2
264,Fast Retailing,Japan,88690,General retailers,38557.7
265,Praxair,US,237404,Chemicals,38432.5
266,Cheung Kong,Hong Kong,16049,Real estate investment & services,38398.5
267,MTN Group,South Africa,10329,Mobile telecommunications,38368.4
268,Target,US,32351870,General retailers,38313.4
269,Time Warner Cable,US,#N/A,Media,38060.7
270,Enbridge,Canada,581485,Oil equipment & services,37829.9
271,Takeda Pharmaceutical,Japan,16225,Pharmaceuticals & biotechnology,37511.4
272,General Dynamics,US,1584650,Aerospace & defence,37478
273,Vivendi,France,459755,Media,37332
274,Automatic Data Processing,US,#N/A,Support services,37225.8
275,Linde,Germany,492301,Chemicals,37215.6
276,Hon Hai Precision Industry,Taiwan,#N/A,Electronic & electrical equipment,37205.7
277,Allergan,US,398735,Pharmaceuticals & biotechnology,37119.4
278,Galaxy Entertainment,Hong Kong,5885,Travel & leisure,36765.8
279,Precision Castparts,US,22949,Aerospace & defence,36707.8
280,Associated British Foods,UK,#N/A,Food producers,36704.7
281,Sasol,South Africa,79861,Oil & gas producers,36433.7
282,Yahoo,US,75216536,Software & computer services,36237.2
283,Sprint,US,19869322,Mobile telecommunications,36170.7
284,Qatar National Bank,Qatar,#N/A,Banks,36050.6
285,Actavis,US,454674,Pharmaceuticals & biotechnology,35919.7
286,Hitachi,Japan,5383257,Electronic & electrical equipment,35763.4
287,Eaton,US,3872744,General industrials,35754.2
288,Manulife Financial,Canada,55536,Life insurance,35715.1
289,Charles Schwab,US,363412,Financial services,35541.5
290,Anglo American,UK,378407,Mining,35482.8
291,Syngenta,Switzerland,215996,Chemicals,35243.8
292,Saudi Telecom,Saudi Arabia,13554,Fixed line telecommunications,35196.7
293,Christian Dior,France,1902546,Personal goods,35002.1
294,Atlas Copco,Sweden,93241,Industrial engineering,34836.1
295,Salesforce.com,US,#N/A,Software & computer services,34830.6
296,Generali,Italy,689942,Nonlife insurance,34717.9
297,Swiss RE,Switzerland,1178,Nonlife insurance,34391.8
298,Freeport-McMoran Copper & Gold,US,#N/A,Industrial metals & mining,34340.5
299,CIBC,Canada,195710,Banks,34334.4
300,CBS,US,44810274,Media,34256.5
301,Franklin Resources,US,17702,Financial services,34179.2
302,Illinois Tool Works,US,#N/A,Industrial engineering,34146.5
303,Seven & I Holding,Japan,#N/A,General retailers,33947.9
304,Volvo,Sweden,13346596,Industrial engineering,33866.1
305,Repsol,Spain,253449,Oil & gas producers,33817.2
306,Swatch Group,Switzerland,96470,Personal goods,33735.8
307,Rolls-Royce,UK,#N/A,Aerospace & defence,33667.6
308,China Minsheng Banking,China,#N/A,Banks,33621.6
309,Telenor,Norway,331432,Mobile telecommunications,33615.3
310,Deere,US,7695767,Industrial engineering,33568.9
311,Saint Gobain,France,96966,Construction & materials,33552.4
312,BCE,Canada,786655,Fixed line telecommunications,33518.2
313,Reed Elsevier,Netherlands/UK,370082,Media,33511.3
314,Kinder Morgan,US,136182,Oil equipment & services,33486.7
315,Kraft Foods Group,US,#N/A,Food producers,33448.4
316,National Oilwell Varco,US,#N/A,Oil equipment & services,33369.3
317,Ace,US,20656817,Nonlife insurance,33349.3
318,Yum! Brands,US,#N/A,Travel & leisure,33317.9
319,Covidien,US,197743,Health care equipment & services,33170.3
320,Sun Hung Kai Properties,Hong Kong,#N/A,Real estate investment & services,33122.3
321,Mitsubishi Estate,Japan,4375,Real estate investment & services,33023.3
322,Philips Electronics,Netherlands,312502,General industrials,32967
323,Apache,US,12982749,Oil & gas producers,32742.4
324,Adobe Systems,US,3052960,Software & computer services,32720.8
325,CaixaBank,Spain,13350,Banks,32685.9
326,TeliaSonera,Sweden,38818,Mobile telecommunications,32591.4
327,Ecolab,US,86199,Chemicals,32492.6
328,Royal Bank of Scotland,UK,#N/A,Banks,32360.7
329,American Tower,US,217872,Real estate investment trusts,32340.1
330,China Citic Bank,China,#N/A,Banks,32332.8
331,Transcanada,Canada,15350,Oil equipment & services,32214.8
332,Surgutneftegas,Russia,1414,Oil & gas producers,31864.7
333,Swisscom,Switzerland,81943,Fixed line telecommunications,31843.5
334,General Mills,US,1859187,Food producers,31843
335,Femsa,Mexico,9107,Beverages,31652.7
336,DBS Group,Singapore,3522,Banks,31511.6
337,Johnson Controls,US,873470,Automobiles & parts,31421.8
338,Infosys Technologies,India,18630,Software & computer services,31408.6
339,China Unicom,Hong Kong,88123,Mobile telecommunications,31274.7
340,Svenska Handelsbanken,Sweden,3513,Banks,31255.6
341,CSL,Australia,991900,Pharmaceuticals & biotechnology,31178.8
342,Raytheon,US,1037984,Aerospace & defence,31070.3
343,Industries Qatar,Qatar,1686,General industrials,30970.7
344,Pernod-Ricard,France,#N/A,Beverages,30911.2
345,Potash Corporation of Saskatchewan,Canada,#N/A,Chemicals,30853.7
346,Stryker,US,1557714,Health care equipment & services,30811.9
347,Mitsubishi,Japan,12609736,Support services,30762.9
348,Cognizant Technology Solutions,US,#N/A,Software & computer services,30735.6
349,Hang Seng Bank,Hong Kong,#N/A,Banks,30438.5
350,Novatek,Russia,14066,Oil & gas producers,30329.9
351,Swedbank,Sweden,49484,Banks,30327.4
352,Boc Hong Kong,Hong Kong,#N/A,Banks,30122.1
353,Norfolk Southern,US,355024,Industrial transportation,30099.2
354,Alexion Pharmaceuticals,US,22858,Pharmaceuticals & biotechnology,30095.9
355,HDFC Bank,India,79236,Banks,30079.3
356,State Street,US,1432865,Financial services,30020.2
357,Travelers Cos.,US,#N/A,Nonlife insurance,29983
358,Al Rajhi Bank,Saudi Arabia,#N/A,Banks,29897.2
